trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.95, 'e': 0.004581192650606184}",30,18,19.911865764259872,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.95, 'e': 0.004352133018075874}",20,14,12.717927682577875,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.95, 'e': 0.00413452636717208}",20,0,29.983648552145457,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.95, 'e': 0.003927800048813476}",20,6,20.504698572115814,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.95, 'e': 0.0037314100463728024}",30,15,29.52666200026762,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.95, 'e': 0.003544839544054162}",20,8,19.874123058939215,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.95, 'e': 0.0033675975668514537}",25,11,20.32425626067579,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.95, 'e': 0.003199217688508881}",25,3,32.82773621804669,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.95, 'e': 0.0030392568040834367}",20,5,24.52815062617973,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.95, 'e': 0.0028872939638792646}",25,17,13.872795341712322,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.95, 'e': 0.0027429292656853013}",25,17,12.263014686309408,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.95, 'e': 0.0026057828024010363}",20,4,24.37500949694079,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.95, 'e': 0.0024754936622809844}",30,16,26.415700945886325,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.95, 'e': 0.002351718979166935}",20,5,24.706681893335755,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.95, 'e': 0.002234133030208588}",25,13,15.614804467922408,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.95, 'e': 0.0021224263786981585}",30,16,29.084177698790047,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.95, 'e': 0.0020163050597632507}",25,15,16.792267574491802,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.95, 'e': 0.001915489806775088}",30,19,22.338313220744837,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.95, 'e': 0.0018197153164363335}",20,2,22.27280912759248,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.95, 'e': 0.0017287295506145167}",20,15,9.726658093393342,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.95, 'e': 0.0016422930730837907}",20,10,18.46546092990498,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.95, 'e': 0.0015601784194296012}",20,0,27.08985619660461,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.95, 'e': 0.0014821694984581211}",20,5,27.27185950347738,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.95, 'e': 0.001408061023535215}",20,9,19.55478897501522,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.95, 'e': 0.001337657972358454}",30,2,46.05837940944512,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.95, 'e': 0.0012707750737405313}",20,6,20.356335252398093,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.95, 'e': 0.0012072363200535047}",20,0,29.502876185744434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.95, 'e': 0.0011468745040508295}",30,0,43.40625383900955,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.95, 'e': 0.001089530778848288}",25,14,17.877267935024573,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.95, 'e': 0.0010350542399058735}",20,0,26.887944865375058,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.95, 'e': 0.0009833015279105798}",25,7,28.627557932666118,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.95, 'e': 0.0009341364515150507}",35,23,21.46908798599096,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.95, 'e': 0.0008874296289392981}",25,3,36.602082601134946,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.95, 'e': 0.0008430581474923332}",20,10,17.335101595802453,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.95, 'e': 0.0008009052401177165}",25,11,22.00560289477902,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.95, 'e': 0.0007608599781118307}",25,20,11.455893518988276,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.95, 'e': 0.0007228169792062391}",20,14,9.438668336775851,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.95, 'e': 0.0006866761302459271}",20,3,23.93561824326135,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.95, 'e': 0.0006523423237336307}",20,4,28.84770061802869,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.95, 'e': 0.0006197252075469491}",30,18,17.302138207665074,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.95, 'e': 0.0005887389471696016}",20,0,28.947960470680215,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.95, 'e': 0.0005593019998111216}",20,12,9.52917649821401,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.95, 'e': 0.0005313368998205655}",20,0,25.533723685505517,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.95, 'e': 0.0005047700548295372}",20,8,19.398835999601744,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.95, 'e': 0.00047953155208806027}",25,4,33.66379549409517,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.95, 'e': 0.00045555497448365723}",25,0,37.01248520672726,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.95, 'e': 0.00043277722575947434}",25,0,27.4845153630845,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.95, 'e': 0.00041113836447150063}",25,14,20.86094526588503,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.95, 'e': 0.0003905814462479256}",20,0,32.22744816440632,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
